ts;fixture;category;quantity;price
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 17;1;155,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 14;1;194,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 4;1;350,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 10;1;190,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 3;1;300,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 16;2;380,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 5;2;678,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 8;2;638,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 13;2;390,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 6;2;750,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 15;2;427,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 2;2;1 040,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 12;2;397,72 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 1;2;1 196,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 7;2;444,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 11;2;400,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 9;2;520,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 17;2;398,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 14;2;384,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 4;2;910,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 10;2;550,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 3;2;850,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 16;4;860,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 5;4;2 000,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 8;4;1 696,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 13;4;1 176,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 6;4;3 800,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 15;4;1 140,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 2;4;3 960,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 12;4;1 380,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 1;4;3 796,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 7;4;1 544,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 11;4;1 260,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 9;4;1 360,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 17;4;788,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 14;4;1 096,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 4;4;3 160,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 10;4;1 512,00 €
1692806160841,match-foot-masculin-paris-vs-marseille-1;CATEGORIE 3;4;2 400,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 9;1;98,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 17;1;57,96 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 15;1;57,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 12;1;75,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 16;1;55,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 2;1;211,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 5;1;136,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 1;1;270,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 13;1;69,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 10;1;91,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 11;1;84,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 8;1;106,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 14;1;69,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 7;1;115,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 3;1;172,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 6;1;125,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 4;1;190,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 9;2;248,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 17;2;154,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 15;2;160,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 12;2;170,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 16;2;156,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 2;2;660,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 5;2;340,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 1;2;790,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 13;2;168,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 10;2;250,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 11;2;199,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 8;2;238,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 14;2;164,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 7;2;250,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 3;2;344,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 6;2;430,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 4;2;500,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 9;4;556,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 17;4;396,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 15;4;480,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 12;4;600,00 €
1692806160841,match-foot-masculin-paris-vs-strasbourg-1;CATEGORIE 16;4;396,00 €
